,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Isangel,VU,76.46,clear sky,-19.55,169.27,Tanna Lodge
131,Wukari,NG,80.08,few clouds,7.85,9.78,Elimtop
138,Sorong,ID,79,broken clouds,-0.88,131.25,Waigo Splash Hotel
141,Kavieng,PG,81.73,overcast clouds,-2.57,150.80,Nusa Island Retreat
142,Banda Aceh,ID,78.01,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
144,Turan,VN,78.78,scattered clouds,16.07,108.22,Grand Mercure Danang
146,Libreville,GA,79.61,light rain,0.39,9.45,Hotel Kreg Le Patio
157,Vila Velha,BR,80.55,light rain,-20.33,-40.29,Hotel Vitória Palace
161,Dzaoudzi,YT,80.49,clear sky,-12.79,45.27,Le Rocher
167,Hobyo,SO,80.6,clear sky,5.35,48.53,Halane Hotel and Restaurent
169,High Rock,BS,80.62,clear sky,26.62,-78.28,Hideaway Bahamas Beach Club
170,Makakilo City,US,79.12,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
174,Iralaya,HN,82.71,light rain,15.00,-83.23,Iglesia morava renovada
177,Acarau,BR,83.77,overcast clouds,-2.89,-40.12,castelo pizzaria
182,Natal,BR,84.85,scattered clouds,-5.80,-35.21,Villa Park Hotel | Natal
183,Hermosillo,MX,76.91,clear sky,29.07,-110.97,ibis Hermosillo
184,Faanui,PF,77.97,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,San Andres,CO,86.02,broken clouds,12.58,-81.70,Hotel Arena Blanca
189,Pangkalanbuun,ID,75,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
199,Namatanai,PG,77.97,broken clouds,-3.67,152.43,Seagulls Inn Namatani
209,Mangrol,IN,77.07,clear sky,21.12,70.12,Hotel The Royal Honours
214,Sao Jose Da Coroa Grande,BR,80.47,few clouds,-8.90,-35.15,Crôa Mares Hotel
215,Santa Gertrudes,BR,83.98,overcast clouds,-22.46,-47.53,Cretta Executive Hotel
216,Sindhnur,IN,75.42,overcast clouds,15.78,76.77,BANGLI AUTOMOBILE
217,Cairns,AU,77.07,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
219,Daru,PG,79.48,overcast clouds,-9.08,143.21,Daru Lodge
223,Vao,NC,75.04,broken clouds,-22.67,167.48,Hotel Kou-Bugny
226,Vanimo,PG,76.71,moderate rain,-2.67,141.30,Vahmoneh Lodge Vanimo
227,Marsh Harbour,BS,79.16,clear sky,26.54,-77.06,Abaco Beach Resort
232,Georgetown,MY,76.95,scattered clouds,5.41,100.34,Cititel Penang
233,Gorontalo,ID,75.76,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
236,Fort Myers Beach,US,85.01,broken clouds,26.45,-81.95,Lani Kai Island Resort
237,Pilar,BR,82.33,broken clouds,-9.60,-35.96,Pousada e churrascaria Manguaba
248,Cabo San Lucas,MX,83.5,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
249,Pointe Michel,DM,85.14,broken clouds,15.25,-61.38,Roseau Hostel & Beach Front Property
252,Maragogi,BR,80.28,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
253,Cidreira,BR,78.69,clear sky,-30.18,-50.21,Hotel Castelo
258,Galesong,ID,75.22,overcast clouds,-5.32,119.37,Sapriadi Appy
271,Yendi,GH,84.43,few clouds,9.44,-0.01,Eyarro Lodge
274,Mercedes,AR,77.04,broken clouds,-34.65,-59.43,Posada del Inti Centro
276,Alofi,NU,78.69,broken clouds,-19.06,-169.92,Taloa Heights
279,Tual,ID,82.54,overcast clouds,-5.67,132.75,Grand Vilia Hotel
283,Bitung,ID,76.05,light rain,1.45,125.18,K2 Lembeh
284,Praia,CV,77.54,scattered clouds,14.92,-23.51,LT Aparthotel
287,Dubti,ET,82.36,clear sky,11.74,41.09,degu Shiferaw
292,Ahuimanu,US,80.31,few clouds,21.44,-157.84,Paradise Bay Resort
